qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1644451,28686,1673137
fc_a_001,D,15408,253,15661
fc_a_002,A,15654,317,15971
fc_a_003,A,7364,47,7411
fc_a_004,A,15914,419,16333
fc_a_005,ABD,14912,328,15240
fc_a_006,A,7731,118,7849
fc_a_007,ABD,22347,787,23134
fc_a_008,B,7799,134,7933
fc_a_009,AB,15692,444,16136
fc_a_010,A,8026,86,8112
fc_a_011,ABD,22632,711,23343
fc_a_012,ACD,24891,812,25703
fc_a_013,A,7320,163,7483
fc_a_014,AB,24033,821,24854
fc_a_015,A,7820,248,8068
fc_a_016,ABC,16224,164,16388
fc_a_017,AD,15978,419,16397
fc_a_018,B,7940,85,8025
fc_a_019,AB,17026,224,17250
fc_a_020,AB,16208,300,16508
fin_a_001,AB,27320,319,27639
fin_a_002,ABD,24966,337,25303
fin_a_003,A,12888,62,12950
fin_a_004,ABD,27224,333,27557
fin_a_005,ABD,24310,240,24550
fin_a_006,A,14168,133,14301
fin_a_007,BD,27286,259,27545
fin_a_008,B,12993,300,13293
fin_a_009,ABC,26298,349,26647
fin_a_010,A,12271,60,12331
fin_a_011,CD,25302,520,25822
fin_a_012,ABD,25282,319,25601
fin_a_013,A,12483,82,12565
fin_a_014,D,36459,888,37347
fin_a_015,D,12768,300,13068
fin_a_016,ABD,25728,423,26151
fin_a_017,AC,37863,809,38672
fin_a_018,A,11658,112,11770
fin_a_019,AB,25394,320,25714
fin_a_020,AB,25226,284,25510
ins_a_001,D,8453,300,8753
ins_a_002,A,10366,301,10667
ins_a_003,A,8418,204,8622
ins_a_004,A,8255,209,8464
ins_a_005,ABC,16716,232,16948
ins_a_006,A,8378,300,8678
ins_a_007,BC,22119,788,22907
ins_a_008,AC,15842,420,16262
ins_a_009,C,16148,170,16318
ins_a_010,AB,16280,349,16629
ins_a_011,BCD,16638,166,16804
ins_a_012,A,16200,276,16476
ins_a_013,C,7808,300,8108
ins_a_014,AB,16520,213,16733
ins_a_015,AB,16462,394,16856
ins_a_016,C,16034,298,16332
ins_a_017,ABCD,24273,627,24900
ins_a_018,C,15998,321,16319
ins_a_019,ABC,16222,214,16436
ins_a_020,B,8380,300,8680
reg_a_001,ACD,16312,322,16634
reg_a_002,ABC,16642,280,16922
reg_a_003,A,8166,131,8297
reg_a_004,ABC,16872,205,17077
reg_a_005,ABC,16874,366,17240
reg_a_006,A,8276,72,8348
reg_a_007,ACD,16380,275,16655
reg_a_008,A,8415,168,8583
reg_a_009,ABD,16068,380,16448
reg_a_010,B,8325,112,8437
reg_a_011,ACD,16536,212,16748
reg_a_012,ABD,17930,202,18132
reg_a_013,A,9009,48,9057
reg_a_014,ABD,18308,238,18546
reg_a_015,C,8792,84,8876
reg_a_016,ABD,19270,359,19629
reg_a_017,AB,18554,366,18920
reg_a_018,A,9043,63,9106
reg_a_019,ABD,19936,300,20236
reg_a_020,ABD,18724,315,19039
res_a_001,ABC,20474,301,20775
res_a_002,ABC,19248,322,19570
res_a_003,B,9700,76,9776
res_a_004,AB,19310,301,19611
res_a_005,ABC,20190,235,20425
res_a_006,A,9852,164,10016
res_a_007,ABC,19516,266,19782
res_a_008,A,9071,97,9168
res_a_009,ABC,20666,370,21036
res_a_010,A,10029,43,10072
res_a_011,BC,19852,187,20039
res_a_012,ABC,18516,227,18743
res_a_013,B,8857,209,9066
res_a_014,ABC,18968,242,19210
res_a_015,A,10996,80,11076
res_a_016,ACD,21090,336,21426
res_a_017,ABD,20308,316,20624
res_a_018,A,11866,92,11958
res_a_019,AB,22756,291,23047
res_a_020,ABD,20438,322,20760
