qid,answer_1,answer_2,answer_3,answer_4,prompt_tokens,completion_tokens,total_tokens
summary,,,,,1948073,54324,2002397
fc_b_001,5.55%,5.36%,7.68%,7.35%,7446,168,7614
fc_b_002,ACD,,,,15846,283,16129
fc_b_003,ABD,,,,15538,344,15882
fc_b_004,ABC,,,,15618,417,16035
fc_b_005,1468.47%,740.58%,,,8407,263,8670
fc_b_006,D,,,,7727,500,8227
fc_b_007,BC,,,,15554,291,15845
fc_b_008,ABD,,,,24393,814,25207
fc_b_009,B,,,,25776,826,26602
fc_b_010,BCD,,,,16256,286,16542
fc_b_011,ABC,,,,18722,266,18988
fc_b_012,BCD,,,,16346,174,16520
fc_b_013,A,,,,6880,69,6949
fc_b_014,14.41,,,,8813,168,8981
fc_b_015,CD,,,,15262,248,15510
fc_b_016,C,,,,8234,99,8333
fc_b_017,BC,,,,15804,361,16165
fc_b_018,ABD,,,,16372,328,16700
fc_b_019,ABCD,,,,14492,222,14714
fc_b_020,2.30,,,,8723,287,9010
fin_b_001,D,,,,27962,1000,28962
fin_b_002,BC,,,,41403,1083,42486
fin_b_003,A,,,,39915,1500,41415
fin_b_004,AB,,,,26742,724,27466
fin_b_005,AC,,,,24836,343,25179
fin_b_006,ABC,,,,26702,656,27358
fin_b_007,AD,,,,26988,329,27317
fin_b_008,C,,,,41760,971,42731
fin_b_009,BCD,,,,39837,684,40521
fin_b_010,D,,,,40869,1500,42369
fin_b_011,C,,,,25862,469,26331
fin_b_012,D,,,,40740,851,41591
fin_b_013,40.05,10.10,,,31023,1919,32942
fin_b_014,1.12,9.82,8.70,,31093,887,31980
fin_b_015,宁德时代>美的集团,19.75,,,29928,1588,31516
fin_b_016,宁德时代>美的集团>招商银行>中国建筑,66.85,,,28658,2435,31093
fin_b_017,1049321.98,0.08,,,29642,535,30177
fin_b_018,2.58,7.65,,,30045,1395,31440
fin_b_019,比亚迪>宁德时代>美的集团,0.84,,,44496,3048,47544
fin_b_020,112.32,112.31,0.01,,30335,1598,31933
ins_b_001,336.20,,,,8660,817,9477
ins_b_002,B,,,,25260,1150,26410
ins_b_003,366.00,,,,24635,2260,26895
ins_b_004,D,,,,15908,938,16846
ins_b_005,AD,,,,24894,431,25325
ins_b_006,B,,,,16606,459,17065
ins_b_007,B,,,,16920,580,17500
ins_b_008,AD,,,,23697,538,24235
ins_b_009,BD,,,,16322,243,16565
ins_b_010,AB,,,,16580,360,16940
ins_b_011,16.00,,,,8511,146,8657
ins_b_012,B,,,,15994,200,16194
ins_b_013,D,,,,16526,658,17184
ins_b_014,ACD,,,,15884,508,16392
ins_b_015,A,,,,16024,520,16544
ins_b_016,BD,,,,16540,273,16813
ins_b_017,ABC,,,,16216,257,16473
ins_b_018,60.00,,,,8316,265,8581
ins_b_019,211.50,,,,8658,330,8988
ins_b_020,ACD,,,,16414,260,16674
reg_b_001,ACD,,,,24705,1232,25937
reg_b_003,2026年3月30日,,,,9199,257,9456
reg_b_004,2026年6月30日,,,,8390,218,8608
reg_b_005,BCD,,,,19920,193,20113
reg_b_007,30.00,,,,9175,119,9294
reg_b_008,BC,,,,18194,288,18482
reg_b_009,BC,,,,18130,182,18312
reg_b_013,B,,,,9543,153,9696
reg_b_014,99.25,,,,9181,174,9355
reg_b_015,AC,,,,16320,497,16817
reg_b_016,2.00,,,,8905,139,9044
reg_b_017,AC,,,,16804,346,17150
reg_b_018,2026年4月1日,,,,8536,434,8970
reg_b_020,B,,,,9284,93,9377
reg_b_021,B,,,,8464,134,8598
reg_b_023,AB,,,,16980,297,17277
reg_b_024,B,,,,9050,136,9186
reg_b_025,AC,,,,16872,487,17359
reg_b_026,C,,,,10833,180,11013
reg_b_027,BD,,,,18524,314,18838
res_b_001,AB,,,,20538,282,20820
res_b_002,AC,,,,20092,372,20464
res_b_003,AB,,,,20968,756,21724
res_b_004,BCD,,,,21222,468,21690
res_b_005,22.20%,,,,31735,628,32363
res_b_006,AB,,,,20792,465,21257
res_b_007,61.98,,,,24942,379,25321
res_b_008,AC,,,,19948,252,20200
res_b_009,ABC,,,,19656,397,20053
res_b_010,AC,,,,19822,222,20044
res_b_011,BC,,,,20770,239,21009
res_b_012,67.1,,,,9883,390,10273
res_b_013,AB,,,,20594,345,20939
res_b_014,CD,,,,19744,366,20110
res_b_015,BD,,,,21370,269,21639
res_b_016,BD,,,,20352,251,20603
res_b_017,AC,,,,18236,248,18484
res_b_018,ACD,,,,20948,300,21248
res_b_019,AB,,,,20166,225,20391
res_b_020,BD,,,,19676,475,20151
